"","Response","Predictor","Estimate","SE","DF","t-Value","P-Value","Std. Estimate",""
"1","rbr qs","dc",-0.009,0.005,153,-1.67,"0.097",-0.179,""
"2","rbr qs","tssm",0.039,0.015,153,2.574,"0.011",0.278,"*"
"3","rbr qs","sdd",0.02,0.029,153,0.67,"0.504",0.077,""
"4","rbr qs","tri",0.002,0.027,153,0.058,"0.954",0.004,""
"5","rbr qs","age",-0.034,0.022,153,-1.525,"0.129",-0.143,""
"6","rbr qs","avgBio",-0.018,0.016,153,-1.104,"0.271",-0.102,""
"7","tssm","sdd",-1.077,0.146,155,-7.378,"<0.001",-0.588,"***"
"8","tssm","tri",0.006,0.107,155,0.056,"0.955",0.002,""
"9","tssm","dc",0.267,0.015,155,17.617,"<0.001",0.76,"***"
"10","tssm","age",0.194,0.07,155,2.786,"0.006",0.113,"**"
"11","sdd","avgBio",-0.084,0.033,156,-2.577,"0.011",-0.12,"*"
"12","sdd","age",0.217,0.043,156,5.075,"<0.001",0.23,"***"
"13","sdd","tri",-0.083,0.055,156,-1.512,"0.132",-0.057,""
