"","Response","Predictor","Estimate","SE","DF","t-Value","P-Value","Std. Estimate",""
"1","RBR median","dc",0.205,0.069,444,2.968,"0.003",0.223,"**"
"2","RBR median","tssm",-1.544,0.266,444,-5.81,"<0.001",-0.526,"***"
"3","RBR median","sdd",-0.977,0.474,444,-2.061,"0.04",-0.137,"*"
"4","RBR median","tri",1.183,0.414,444,2.853,"0.004",0.149,"**"
"5","RBR median","age",0.267,0.459,444,0.582,"0.561",0.04,""
"6","RBR median","avgBio",0.03,0.336,444,0.088,"0.93",0.006,""
"7","tssm","sdd",-0.766,0.069,446,-11.156,"<0.001",-0.316,"***"
"8","tssm","tri",-0.036,0.059,446,-0.617,"0.538",-0.013,""
"9","tssm","dc",0.183,0.008,446,21.885,"<0.001",0.583,"***"
"10","tssm","avgBio",0.002,0.031,446,0.066,"0.947",0.001,""
"11","sdd","avgBio",-0.251,0.029,447,-8.761,"<0.001",-0.383,"***"
"12","sdd","age",0.301,0.04,447,7.437,"<0.001",0.319,"***"
"13","sdd","tri",-0.067,0.036,447,-1.846,"0.066",-0.06,""
